,Title,Salary (min),Salary (max),Currency,Link,Source
1,Инженер-механик / Специалист сервисной службы по ремонту складской техники и спецтехники,80000,,руб.,https://www.superjob.ru/vakansii/inzhener-mehanik-36695178.html,https://www.superjob.ru
2,Механик службы технического контроля (м. Люблино),35000,,руб.,https://www.superjob.ru/vakansii/mehanik-sluzhby-tehnicheskogo-kontrolya-34707376.html,https://www.superjob.ru
3,Инженер-механик,70000,,руб.,https://www.superjob.ru/vakansii/inzhener-mehanik-38629524.html,https://www.superjob.ru
4,Механик АЗС,60000,,руб.,https://www.superjob.ru/vakansii/mehanik-azs-38223387.html,https://www.superjob.ru
5,Механик (гидравлика),60000,,руб.,https://www.superjob.ru/vakansii/mehanik-36307030.html,https://www.superjob.ru
6,Механик цеха по производству пищевой продукции,,81000,руб.,https://www.superjob.ru/vakansii/mehanik-ceha-po-proizvodstvu-pischevoj-produkcii-31255445.html,https://www.superjob.ru
7,Механик-наладчик,45000,,руб.,https://www.superjob.ru/vakansii/mehanik-naladchik-38392859.html,https://www.superjob.ru
8,Механик холодильных установок,74000,,руб.,https://www.superjob.ru/vakansii/mehanik-holodilnyh-ustanovok-38245337.html,https://www.superjob.ru
9,Механик автотранспортного цеха,65000,,руб.,https://www.superjob.ru/vakansii/mehanik-avtotransportnogo-ceha-35583583.html,https://www.superjob.ru
10,Механик / Автослесарь / Автомеханик,,65000,руб.,https://www.superjob.ru/vakansii/mehanik-38449059.html,https://www.superjob.ru
11,Главный механик (пищевое производство),,92000,руб.,https://www.superjob.ru/vakansii/glavnyj-mehanik-38284082.html,https://www.superjob.ru
12,Слесарь-механик по радиоэлектронной аппаратуре,51000,,руб.,https://www.superjob.ru/vakansii/slesar-mehanik-po-radioelektronnoj-apparature-38488076.html,https://www.superjob.ru
13,Главный механик,,120000,руб.,https://www.superjob.ru/vakansii/glavnyj-mehanik-38684430.html,https://www.superjob.ru
14,"Инженер сервисного отдела / Механик пищевого, торгово-технологического оборудования",100000,,руб.,https://www.superjob.ru/vakansii/inzhener-servisnogo-otdela-38487589.html,https://www.superjob.ru
15,"Старший механик пожарной насосной станции, пожарный",30000,37000,руб.,https://www.superjob.ru/vakansii/starshij-mehanik-pozharnoj-nasosnoj-stancii-38362971.html,https://www.superjob.ru
16,"Механик, слесарь по пищевому оборудованию",,,,https://www.superjob.ru/vakansii/mehanik-11898584.html,https://www.superjob.ru
17,Механик на производство,55000,,руб.,https://www.superjob.ru/vakansii/mehanik-na-proizvodstvo-38243650.html,https://www.superjob.ru
18,Линейный механик,77000,,руб.,https://www.superjob.ru/vakansii/linejnyj-mehanik-38219950.html,https://www.superjob.ru
19,Механик-энергетик,60000,,руб.,https://www.superjob.ru/vakansii/mehanik-energetik-38242859.html,https://www.superjob.ru
20,Механик,,57000,руб.,https://www.superjob.ru/vakansii/mehanik-36184947.html,https://www.superjob.ru
