,Title,Salary (min),Salary (max),Currency,Link,Source
1,Senior Python Backend Developer / WEB-разработчик,,230000,руб.,https://www.superjob.ru/vakansii/senior-python-backend-developer-38203421.html,https://www.superjob.ru
2,"Аналитик в отдел планирования (SQL, Python/R)",,,,https://www.superjob.ru/vakansii/analitik-v-otdel-planirovaniya-35583105.html,https://www.superjob.ru
3,Программист Python,,90000,руб.,https://www.superjob.ru/vakansii/programmist-python-38498437.html,https://www.superjob.ru
4,"Full-stack Developer (Python, Javascript)",150000,,руб.,https://www.superjob.ru/vakansii/full-stack-developer-38070283.html,https://www.superjob.ru
5,Python Developer (Backend),100000,,руб.,https://www.superjob.ru/vakansii/python-developer-38490501.html,https://www.superjob.ru
6,"Senior / Middle-backend-разработчик (Python, Django)",180000,220000,руб.,https://www.superjob.ru/vakansii/senior-38475078.html,https://www.superjob.ru
7,Backend Python разработчик,,250000,руб.,https://www.superjob.ru/vakansii/backend-python-razrabotchik-38611513.html,https://www.superjob.ru
8,Full stack разработчик на Python,,,,https://www.superjob.ru/vakansii/full-stack-razrabotchik-na-python-38716913.html,https://www.superjob.ru
9,Программист / разработчик С++/Python,,,,https://www.superjob.ru/vakansii/programmist-38715459.html,https://www.superjob.ru
10,Преподаватель по программированию на Python,,,,https://www.superjob.ru/vakansii/prepodavatel-po-programmirovaniyu-na-python-38678658.html,https://www.superjob.ru
11,Программист Python,45000,55000,руб.,https://www.superjob.ru/vakansii/programmist-python-38440049.html,https://www.superjob.ru
12,Python backend-разработчик (проект компьютерное зрение),,,,https://www.superjob.ru/vakansii/python-backend-razrabotchik-38543460.html,https://www.superjob.ru
13,Инженер-программист Python,80000,,руб.,https://www.superjob.ru/vakansii/inzhener-programmist-python-37848661.html,https://www.superjob.ru
14,Python developer (Big Data),,,,https://www.superjob.ru/vakansii/python-developer-38665743.html,https://www.superjob.ru
15,Python middle/senior,160000,200000,руб.,https://www.superjob.ru/vakansii/python-middle-38517804.html,https://www.superjob.ru
16,Python developer,160000,200000,руб.,https://www.superjob.ru/vakansii/python-developer-38429128.html,https://www.superjob.ru
17,Product Manager / Продакт менеджер,,,,https://www.superjob.ru/vakansii/product-manager-37211908.html,https://www.superjob.ru
18,Аналитик-психометрик,,,,https://www.superjob.ru/vakansii/analitik-psihometrik-38571052.html,https://www.superjob.ru
19,Учитель информатики,,,,https://www.superjob.ru/vakansii/uchitel-informatiki-34092715.html,https://www.superjob.ru
20,Педагог по программированию и информатике,15000,,руб.,https://www.superjob.ru/vakansii/pedagog-po-programmirovaniyu-i-informatike-38748305.html,https://www.superjob.ru
21,Python developer,400000,600000,KZT,https://hh.ru/vacancy/47358942?from=vacancy_search_list&query=Python,https://hh.ru
22,Senior Python developer,,5500,USD,https://hh.ru/vacancy/46911211?from=vacancy_search_list&query=Python,https://hh.ru
23,Python-разработчик,,,,https://hh.ru/vacancy/47084105?from=vacancy_search_list&query=Python,https://hh.ru
24,Python Developer,,,,https://hh.ru/vacancy/46826981?from=vacancy_search_list&query=Python,https://hh.ru
25,Middle/Senior Python developer,,,,https://hh.ru/vacancy/47292280?from=vacancy_search_list&query=Python,https://hh.ru
26,Data Engineer,,,,https://hh.ru/vacancy/47222897?from=vacancy_search_list&query=Python,https://hh.ru
27,Junior Data Engineer (Python),120000,120000,руб.,https://hh.ru/vacancy/47018981?from=vacancy_search_list&query=Python,https://hh.ru
28,Junior Python developer,60000,,руб.,https://hh.ru/vacancy/47247509?from=vacancy_search_list&query=Python,https://hh.ru
29,Junior Python developer (в Сочи),65000,,руб.,https://hh.ru/vacancy/47110879?from=vacancy_search_list&query=Python,https://hh.ru
30,Junior Python разработчик,,,,https://hh.ru/vacancy/46770125?from=vacancy_search_list&query=Python,https://hh.ru
31,Junior Python developer,40000,80000,руб.,https://hh.ru/vacancy/47336397?from=vacancy_search_list&query=Python,https://hh.ru
32,Junior Backend Developer (Python),,,,https://hh.ru/vacancy/47348712?from=vacancy_search_list&query=Python,https://hh.ru
33,Python / Django Junior - стажер,15000,30000,руб.,https://hh.ru/vacancy/47334694?from=vacancy_search_list&query=Python,https://hh.ru
34,Junior Python developer,40000,40000,руб.,https://hh.ru/vacancy/46826445?from=vacancy_search_list&query=Python,https://hh.ru
35,Middle Python developer,120000,180000,руб.,https://hh.ru/vacancy/46934606?from=vacancy_search_list&query=Python,https://hh.ru
36,Junior разработчик - Backend Python,50000,,руб.,https://hh.ru/vacancy/47202448?from=vacancy_search_list&query=Python,https://hh.ru
37,Программист на Python Django,75000,,руб.,https://hh.ru/vacancy/47186842?from=vacancy_search_list&query=Python,https://hh.ru
38,Python developer (Middle),250000,300000,руб.,https://hh.ru/vacancy/47250597?from=vacancy_search_list&query=Python,https://hh.ru
39,Junior Python developer в Вологде,40000,40000,руб.,https://hh.ru/vacancy/47377191?from=vacancy_search_list&query=Python,https://hh.ru
40,Программист Python,210000,,руб.,https://hh.ru/vacancy/45943518?from=vacancy_search_list&query=Python,https://hh.ru
41,Python разработчик (Django),200000,300000,руб.,https://hh.ru/vacancy/47091859?from=vacancy_search_list&query=Python,https://hh.ru
42,Разработчик на Python,60000,,руб.,https://hh.ru/vacancy/47274307?from=vacancy_search_list&query=Python,https://hh.ru
43,Senior Python Developer,400000,,руб.,https://hh.ru/vacancy/47163840?from=vacancy_search_list&query=Python,https://hh.ru
44,Python Developer,200000,350000,руб.,https://hh.ru/vacancy/46660773?from=vacancy_search_list&query=Python,https://hh.ru
45,"Разработчик Python (Senior, Principal)",200000,350000,руб.,https://hh.ru/vacancy/44522651?from=vacancy_search_list&query=Python,https://hh.ru
46,Backend Программист (Python),1500,2200,USD,https://hh.ru/vacancy/46870202?from=vacancy_search_list&query=Python,https://hh.ru
47,Программист Python,100000,200000,руб.,https://hh.ru/vacancy/47101706?from=vacancy_search_list&query=Python,https://hh.ru
48,Backend developer (Python),150000,300000,руб.,https://hh.ru/vacancy/43674112?from=vacancy_search_list&query=Python,https://hh.ru
49,Python-разработчик (Middle+),150000,250000,руб.,https://hh.ru/vacancy/46772049?from=vacancy_search_list&query=Python,https://hh.ru
50,Python developer,2500,3200,USD,https://hh.ru/vacancy/45610689?from=vacancy_search_list&query=Python,https://hh.ru
51,Разработчик Python (Middle),110000,180000,руб.,https://hh.ru/vacancy/46144215?from=vacancy_search_list&query=Python,https://hh.ru
52,Backend-разработчик (Python),70000,140000,руб.,https://hh.ru/vacancy/46666248?from=vacancy_search_list&query=Python,https://hh.ru
53,Python-разработчик,60000,100000,руб.,https://hh.ru/vacancy/47144838?from=vacancy_search_list&query=Python,https://hh.ru
54,Middle Python Developer,160000,180000,руб.,https://hh.ru/vacancy/46618136?from=vacancy_search_list&query=Python,https://hh.ru
55,Middle/Senior Python разработчик  проектов Data Science,200000,250000,руб.,https://hh.ru/vacancy/47223800?from=vacancy_search_list&query=Python,https://hh.ru
56,Python developer,60000,100000,грн.,https://hh.ru/vacancy/46856534?from=vacancy_search_list&query=Python,https://hh.ru
57,Python-разработчик,150000,,руб.,https://hh.ru/vacancy/46795567?from=vacancy_search_list&query=Python,https://hh.ru
58,Python Developer,100000,130000,руб.,https://hh.ru/vacancy/46295113?from=vacancy_search_list&query=Python,https://hh.ru
59,Python Developer,2300,3100,USD,https://hh.ru/vacancy/42992983?from=vacancy_search_list&query=Python,https://hh.ru
60,Python-разработчик,,,,https://hh.ru/vacancy/47370892?from=vacancy_search_list&query=Python,https://hh.ru
61,Web-аналитик,,,,https://www.superjob.ru/vakansii/web-analitik-37211756.html,https://www.superjob.ru
62,Разработчик SQL,,12000,руб.,https://www.superjob.ru/vakansii/razrabotchik-sql-38284142.html,https://www.superjob.ru
63,Senior WordPress Developer,,,,https://www.superjob.ru/vakansii/senior-wordpress-developer-38425569.html,https://www.superjob.ru
64,Разработчик C в отдел CPE,,,,https://www.superjob.ru/vakansii/razrabotchik-c-v-otdel-cpe-38746749.html,https://www.superjob.ru
65,Ведущий веб-аналитик,,,,https://www.superjob.ru/vakansii/veduschij-veb-analitik-36181150.html,https://www.superjob.ru
66,Data Engineer,,,,https://www.superjob.ru/vakansii/data-engineer-38716751.html,https://www.superjob.ru
67,Аналитик баз данных / Data Engineer,,,,https://www.superjob.ru/vakansii/analitik-baz-dannyh-37980439.html,https://www.superjob.ru
68,Разработчик / Старший разработчик баз данных (Oracle/PostgreSQL),,,,https://www.superjob.ru/vakansii/razrabotchik-38513324.html,https://www.superjob.ru
69,"Инженер-проектировщик ИТ и слаботочных сетей (ЛВС, СКС)",90000,,руб.,https://www.superjob.ru/vakansii/inzhener-proektirovschik-it-i-slabotochnyh-setej-36072193.html,https://www.superjob.ru
70,Инженер Linux,120000,,руб.,https://www.superjob.ru/vakansii/inzhener-linux-38745674.html,https://www.superjob.ru
71,Support Engineer (Functions),,,,https://www.superjob.ru/vakansii/support-engineer-38448808.html,https://www.superjob.ru
72,Программист-стажер,,,,https://www.superjob.ru/vakansii/programmist-stazher-38510010.html,https://www.superjob.ru
73,Web-аналитик,150000,,руб.,https://www.superjob.ru/vakansii/web-analitik-36842585.html,https://www.superjob.ru
74,ML Software Engineer,170000,190000,руб.,https://www.superjob.ru/vakansii/ml-software-engineer-38643478.html,https://www.superjob.ru
75,DevOps Hiring Weeks,,,,https://www.superjob.ru/vakansii/devops-hiring-weeks-38739762.html,https://www.superjob.ru
76,Архитектор информационных систем,,,,https://www.superjob.ru/vakansii/arhitektor-informacionnyh-sistem-38439322.html,https://www.superjob.ru
77,Системный инженер (Devops/Linux),,,,https://www.superjob.ru/vakansii/sistemnyj-inzhener-38094570.html,https://www.superjob.ru
78,Аналитик,,,,https://www.superjob.ru/vakansii/analitik-37623704.html,https://www.superjob.ru
79,DevOps Engineer,,,,https://www.superjob.ru/vakansii/devops-engineer-38738633.html,https://www.superjob.ru
80,Ведущий инженер,150000,180000,руб.,https://www.superjob.ru/vakansii/veduschij-inzhener-36502434.html,https://www.superjob.ru
81,Python Developer,100000,,руб.,https://hh.ru/vacancy/46659392?from=vacancy_search_list&query=Python,https://hh.ru
82,Junior Developer / Data Engineer,,,,https://hh.ru/vacancy/46760320?from=vacancy_search_list&query=Python,https://hh.ru
83,Python разработчик,120000,230000,руб.,https://hh.ru/vacancy/47250451?from=vacancy_search_list&query=Python,https://hh.ru
